,FID,FIPS_CNTRY,ISO_2DIGIT,ISO_3DIGIT,NAME,COUNTRYAFF,CONTINENT,OBJECTID,COUNTRY,TotalEvents2015_2018,TotalLengthCleanup_m,AvgLengthCleanup_m,TotalVolunteers,TotalDebrisltemsRecovered,TotalPlasticFoamFishingItemsRec,PCT_PlasticAndFoam,PCT_Glass_Rubber_Lumber_Metal,Plastic_Beverage_Bottle,Other_Plastic_Bottle,PlasticBottleCapOrLid,Plastic_FoamFoodContainer,BucketOrCrate,PlasticLighter,OtherHardPlastic,PlasticOrFoamPlatesCupsSilverwa,PlasticPersonalCareProduct,LollipopStickOrEarBud,PlasticBag,WrapperOrLabel,PlasticSheet,PlasticDrinkingStraw,OtherSoftPlastic,CigaretteButts,StringRingRibbon,PlasticStraps,FishingNet,FishingLineLureRope,FishingGlowSticks,BuoysAndFloats,OtherPlasticFishingDebris,OtherFoamPlasticDebris,OtherPlasticDebris
0,1,FP,PF,PYF,French Polynesia,France,Oceania,50,French Polynesia,2,357,178.5,,582,399,68.6,31.4,100,0,60,30,0,5,5,0,0,10,130,0,0,40,0,,0,0,0,15,0,0,0,4,
1,2,WS,WS,WSM,Samoa,Samoa,Oceania,125,Samoa,4,2109.854032,527.5,77,6889,4517,65.6,34.4,315,22,227,208,0,3,10,550,48,0,943,581,0,49,716,169,6,26,8,7,0,0,0,232,397
2,3,TN,TO,TON,Tonga,Tonga,Oceania,146,Tonga,2,198,99,21,1215,499,41.1,58.9,15,0,38,5,0,0,1,29,20,0,9,269,0,0,0,0,0,0,8,2,0,0,0,0,103
3,4,ES,SV,SLV,El Salvador,El Salvador,North America,44,El Salvador,2,804.673544,402.3,85,11,11,100,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,GT,GT,GTM,Guatemala,Guatemala,North America,58,Guatemala,50,21344.77043,426.9,529,146484,102468,70,30,86594,90,1736,467,0,3,0,2332,107,0,7291,2190,0,197,287,95,50,12,8,125,0,3,0,111,770
5,6,MX,MX,MEX,Mexico,Mexico,North America,86,Mexico,653,1127881.616,1727.2,53232,1878784,1662225,88.5,11.5,604268,7531,171796,34295,0,2527,1859,87924,6250,2,70970,48263,0,36459,49146,244247,7653,1937,4066,13226,0,4068,0,89829,175909
6,7,CA,CA,CAN,Canada,Canada,North America,26,Canada,3230,6719870.952,2080.5,80410,2419848,2204947,91.1,8.9,55666,13442,102285,34603,0,1528,14700,41979,12325,0,61063,121302,0,43817,54633,873554,3484,3322,3631,22236,0,5088,0,347557,388732
7,8,AR,AR,ARG,Argentina,Argentina,South America,5,Argentina,26,14615.73011,562.1,1226,59930,52717,88,12,7208,107,5870,1446,0,392,71,3400,326,11,15507,5472,0,1136,409,7159,19,193,126,194,0,5,0,2770,896
8,9,CI,CL,CHL,Chile,Chile,South America,29,Chile,344,451901.0986,1313.7,40221,846560,632654,74.7,25.3,33768,6793,64132,23216,0,5347,871,22772,4278,0,44208,45245,0,11165,15156,179618,3293,1913,10975,28665,0,15085,0,58820,57334
9,10,EC,EC,ECU,Ecuador,Ecuador,South America,42,Ecuador,523,2467588.953,4718.1,116993,2598759,2073556,79.8,20.2,187963,35312,258954,232562,0,6424,4885,306616,44981,0,277596,166812,0,56041,43865,148997,9222,7994,18212,40631,0,12478,0,60528,153483
